书名,作者,归属场景
"Salt, Fat, Acid, Heat(盐,脂,酸,热)",萨明·诺斯拉特,cooking_recipe
Save the Cat(救猫咪),布莱克·斯奈德,short_video;writing_polish
Say Good Night to Insomnia,Gregg Jacobs,mental_wellness;sleep_health
Schema.org 结构化数据规范,Schema.org,seo_growth
Sculpting with Light,Allison Earnest,photography
Secrets of Sand Hill Road(风投的逻辑),Scott Kupor,startup_advisory
Seductive Interaction Design(诱导性交互设计),Stephen P. Anderson,ui_ux_review
Self-Editing for Fiction Writers(自我编辑),Renni Browne / Dave King,writing_polish
Serious Cryptography,Jean-Philippe Aumasson,program_management
Several Short Sentences About Writing,Verlyn Klinkenborg,writing_polish
Shark's Fin and Sichuan Pepper(鱼翅与花椒),扶霞·邓洛普,dining_recommendation
Shigley 机械工程设计,米斯克,machinery
Ship Construction,D.J. Eyres,shipbuilding_marine
Ship Hydrostatics and Stability,Adrian Biran,shipbuilding_marine
Ship Resistance and Propulsion,Molland 等,shipbuilding_marine
Ship Structural Analysis and Design,Owen Hughes,shipbuilding_marine
Show Me the Numbers,Stephen Few,data_analytics;presentation_skills
Show Your Work!,Austin Kleon,resume_interview;short_video
Site Reliability Engineering(Google SRE),Betsy Beyer 等,program_management
Skincare(护肤科学),Caroline Hirons,skincare_beauty
Smart Choices(决策的艺术),Hammond 等,data_analytics
So Good They Can't Ignore You,Cal Newport,career_transition;resume_interview
Software Architecture in Practice,Bass 等,program_management
Space Mission Analysis and Design (SMAD),Wertz & Larson,aerospace
Spark Joy 整理魔法2,近藤麻理惠,home_organize
Spark 快速大数据分析,专著,data_analytics
Sprint (设计冲刺),Jake Knapp,product_manager
Steering the Craft,Ursula K. Le Guin,writing_polish
Stein on Writing(斯坦因谈写作),Sol Stein,writing_polish
Story(故事 英文原版),Robert McKee,writing_polish
Storytelling with Data(用数据讲故事),Cole Knaflic,data_analytics;presentation_skills;product_manager
Strapdown Inertial Navigation Technology,Titterton,aerospace
Structural Analysis,R.C. Hibbeler,construction_materials
Structures: Or Why Things Don't Fall Down(结构是什么),J.E. Gordon,construction_materials
Stuff Matters 迷人的材料,马克·米奥多尼克,metallurgy
Stuff Matters(迷人的材料),Mark Miodownik,construction_materials;metallurgy
Subsea Engineering Handbook,Yong Bai,shipbuilding_marine
TED Talks(演讲的力量),Chris Anderson,debate_speech
TEFAF/巴塞尔艺术市场报告,—,collectibles
TOEFL iBT 官方指南,ETS 官方,study_abroad
TOEFL 官方指南(OG),ETS,language_learning;learning_planning
TS16949质量体系,—,automotive
Tableau 数据可视化实战,专著,data_analytics
Talk Like TED(像 TED 一样演讲),Carmine Gallo,debate_speech;presentation_skills
Textiles(纺织品),Sara Kadolph,textiles
Thank You for Arguing(谢谢你的争论),Jay Heinrichs,debate_speech
Thanks for the Feedback,Stone & Heen,presentation_skills
The 2-Hour Job Search,Steve Dalton,resume_interview
The 7 Habits of Highly Effective People,Stephen Covey,time_productivity
The Adobe Photoshop Lightroom Classic Book,Scott Kelby,photography
The Alignment Problem,Brian Christian,prompt_engineering
The Art of Game Design: A Book of Lenses,Jesse Schell,board_game
The Art of Gathering,Priya Parker,board_game
The Art of Public Speaking(演讲的艺术),Stephen Lucas,debate_speech
The Art of Rhetoric(修辞术),亚里士多德,debate_speech
The Art of SEO,Eric Enge 等,seo_growth
The Art of Software Security Assessment,Dowd 等,program_management
The Black Swan(黑天鹅),纳西姆·塔勒布,contract_review
The Body Keeps the Score(身体从未忘记原版),Bessel van der Kolk,family_doctor
The Bogleheads' Guide to Investing,Larimore 等,tax_insurance
The Book of Why(为什么·因果),Judea Pearl,data_analytics
The Botany of Desire(植物的欲望),迈克尔·波伦,modern_agriculture
The Box(集装箱改变世界),Marc Levinson,cross_border;shipbuilding_marine
The Checklist Manifesto(清单革命),Atul Gawande,family_doctor;time_productivity
The China Study(救命饮食),T. Colin Campbell,chronic_disease
The Circadian Code(昼夜节律密码),Satchin Panda,sleep_health
The College Application Essay,College Board,learning_planning
The Copywriter's Handbook,Robert Bly,cross_border;writing_polish
The Culture Map(文化地图),埃琳·迈耶,cross_border
The Data Warehouse Toolkit(数据仓库工具箱),Ralph Kimball,data_analytics
The Death and Life of Great American Cities,Jane Jacobs,construction_materials;rent_buy_house
The Design of Everyday Things(设计心理学),Donald Norman,ecommerce_ops;machinery;product_manager;purchase_decision;ui_ux_review
The Digital Photography Book,Scott Kelby,photography
The Disappearing Spoon 消失的勺子,萨姆·基恩,metallurgy
The Disappearing Spoon(消失的勺子),萨姆·基恩,metallurgy
The Elements of Style(风格的要素),Strunk & White,debate_speech;writing_polish
The Finite Element Method,Zienkiewicz,aerospace
The Flavor Bible(风味圣经),Page & Dornenburg,cooking_recipe
The Flavour Thesaurus(风味词典),Niki Segnit,cooking_recipe
The Food Lab,J. Kenji López-Alt,cooking_recipe
The Food of Sichuan(川菜),扶霞·邓洛普,cooking_recipe;dining_recommendation
The French Laundry Cookbook,Thomas Keller,cooking_recipe;dining_recommendation
The Functional Art(可视化之美·功能艺术),Alberto Cairo,data_analytics
The Gatekeepers,Jacques Steinberg,study_abroad
The Gene(基因传),Siddhartha Mukherjee,family_doctor;pharma_biomfg
The Geography of Bliss(各国文化幸福观),Eric Weiner,travel_deep;travel_planning
"The Goal(目标,精益/进度管理经典)",Eliyahu Goldratt,construction_materials;cross_border;ecommerce_ops
The Great Influenza(大流感),John M. Barry,family_doctor
The Happiest Baby on the Block,哈维·卡普,parenting_baby
The Hero with a Thousand Faces(千面英雄),约瑟夫·坎贝尔,short_video
The Inner Game of Music,巴里·格林,music_learning
The Innovator's Dilemma,Clayton Christensen,career_transition
The Innovators(创新者),Walter Isaacson,digital_office
The Knot 婚礼策划完全手册,The Knot,wedding_planning
The Lady Tasting Tea(女士品茶),David Salsburg,data_analytics
The Law(法律),巴斯夏(Frédéric Bastiat),contract_review
The Lean Startup(精益创业),埃里克·莱斯,data_analytics;ecommerce_ops;product_manager;seo_growth
The Little Book of Common Sense Investing(共同基金常识),John Bogle,tax_insurance
The Little Book of Skin Care(韩式护肤),Charlotte Cho,skincare_beauty
The Millionaire Next Door,Stanley & Danko,purchase_decision
The Mom Test,Rob Fitzpatrick,product_manager;seo_growth;startup_advisory
The New Science of Strong Materials(强材料新科学),J.E. Gordon,construction_materials
The Non-Designer's Design Book,Robin Williams,presentation_skills
The Now Habit 战胜拖延,尼尔·菲奥里,grad_civil_exam
The Now Habit(战拖),Neil Fiore,time_productivity
The Omnivore's Dilemma(杂食者的两难),Michael Pollan,dining_recommendation
The One Thing(最重要的事只有一件),Gary Keller,time_productivity
The One-Straw Revolution(一根稻草的革命),Masanobu Fukuoka,agriculture
The Other End of the Leash,Patricia McConnell,pet_care
The Paradox of Choice(选择的悖论),Barry Schwartz,digital_office
The Phoenix Project (凤凰项目),Gene Kim 等,product_manager;program_management
The Photographer's Eye,Michael Freeman,photography
The Power of Habit(习惯的力量),Charles Duhigg,time_productivity
The Pragmatic Programmer,Hunt & Thomas,program_management
The Price of Admission,Daniel Golden,study_abroad
The Professional Chef,CIA 美国厨艺学院,cooking_recipe
The Promise of Sleep,William C. Dement,sleep_health
The Prompt Engineering Handbook,—,prompt_engineering
The Psychology of Money,Morgan Housel,purchase_decision;rent_buy_house
The Pyramid Principle(金字塔原理),Barbara Minto,data_analytics;presentation_skills
The Richest Man in Babylon(巴比伦最富有的人),George S. Clason,tax_insurance
The Science of Cooking,Stuart Farrimond,cooking_recipe
The Sense of Style(写作风格的意识),Steven Pinker,contract_review;writing_polish
The Signal and the Noise(信号与噪声),纳特·西尔弗,data_analytics
The Sleep Solution,W. Chris Winter,sleep_health
The Story of Earth(地球的故事),罗伯特·黑曾,mining_extraction
The Tangled Web,Michal Zalewski,program_management
The Tipping Point(引爆点),Malcolm Gladwell,private_domain
The Vegetable Butcher,Cara Mangini,cooking_recipe
The Visual Display of Quantitative Information(定量信息的视觉显示),Edward Tufte,data_analytics;presentation_skills;ui_ux_review
The Wager(沉船·叛变与谋杀),David Grann,shipbuilding_marine
The Web Application Hacker's Handbook,Stuttard & Pinto,program_management
The Whole-Brain Child,Siegel & Bryson,child_education
The Willpower Instinct(自控力),Kelly McGonigal,time_productivity
The World Atlas of Wine(世界葡萄酒地图),Johnson & Robinson,dining_recommendation
Thinking in Bets(对赌),Annie Duke,contract_review
Thinking with Type,Ellen Lupton,ui_ux_review
"Thinking, Fast and Slow",Daniel Kahneman,career_transition
This Is Going to Hurt(疼痛难免),Adam Kay,family_doctor
This Is Marketing(这才是营销),Seth Godin,cross_border
Through the Language Glass,Guy Deutscher,language_learning
Tiny Habits(福格行为模型),B.J. Fogg,time_productivity
To Engineer Is Human,亨利·波卓斯基,machinery
To Sell Is Human,Daniel Pink,private_domain
Traction(增长引擎),Gabriel Weinberg,seo_growth;short_video;startup_advisory
Transport Phenomena,"Bird, Stewart, Lightfoot",chemical_industry
Travels with Charley(横越美国),John Steinbeck,travel_deep;travel_planning
Triumph of the City(城市的胜利),Edward Glaeser,rent_buy_house
Trustworthy Online Controlled Experiments,Kohavi 等,product_manager;seo_growth;short_video
UCP600 跟单信用证统一惯例,ICC,cross_border
USB/雷电接口标准,专著,digital_office
Understanding Comics(理解漫画·视觉叙事),Scott McCloud,short_video
Understanding Exposure,Bryan Peterson,photography
Unit Operations of Chemical Engineering,"McCabe, Smith, Harriott",chemical_industry
Universal Principles of Design(设计的法则),William Lidwell 等,ui_ux_review
User Story Mapping,Jeff Patton,product_manager
Vagabonding(慢旅行节奏),Rolf Potts,travel_deep;travel_planning
Vehicle Dynamics and Control,Rajesh Rajamani,automotive
Venture Deals(风投协议),Brad Feld & Jason Mendelson,startup_advisory
WCAG 2.x 无障碍指南,W3C,ui_ux_review
WELL 建筑标准,IWBI,construction_materials
WHO 国际旅行与健康指南,世界卫生组织,travel_deep;travel_planning
Web Analytics 2.0(流量的秘密),Avinash Kaushik,seo_growth
Web 性能权威指南,Ilya Grigorik,ui_ux_review
What Color Is Your Parachute?,Richard Bolles,resume_interview
Where You Go Is Not Who You'll Be,Frank Bruni,study_abroad
Who(招聘圣经),Geoff Smart,startup_advisory
Who: The A Method for Hiring,Smart & Street,resume_interview
Why Buildings Fall Down,Levy & Salvadori,construction_materials
Why Buildings Stand Up,Mario Salvadori,construction_materials
Why We Get Fat,加里·陶布斯,nutrition_fitness
Why We Sleep(我们为什么睡觉),Matthew Walker,family_doctor;time_productivity
Why Zebras Don't Get Ulcers(斑马为什么不得胃溃疡),Robert Sapolsky,sleep_health
Wills 矿物加工技术,Wills,mining_extraction
Wine Folly(葡萄酒入门),Madeline Puckette,dining_recommendation
Work Rules!(重新定义团队),Laszlo Bock,resume_interview
Working Effectively with Legacy Code,Michael Feathers,program_management
Woven Textile Structure,B.K. Behera,textiles
Writing Down the Bones(写出我心),Natalie Goldberg,writing_polish
Writing Tools,Roy Peter Clark,writing_polish
YC 创业指南(Startup School),Y Combinator,startup_advisory
You Don't Know JS (系列),Kyle Simpson,program_management
Your Money or Your Life,Domínguez & Robin,purchase_decision;tax_insurance
offer 对比与决策,—,resume_interview
slide:ology,Nancy Duarte,presentation_skills
xUnit Test Patterns,Gerard Meszaros,program_management
一万小时天才理论,丹尼尔·科伊尔,music_learning
一本小小的红色写作书,布兰登·罗伊尔,writing_polish
一看就懂穿搭术,—,fashion_styling
万物既伟大又渺小,吉米·哈利,pet_care
万物有灵且美,吉米·哈利(James Herriot),pet_care
三废处理工程技术,—,chemical_industry
上瘾 Hooked,尼尔·埃亚尔,startup_advisory
上瘾(Hooked),Nir Eyal,private_domain;product_manager
上瘾:让用户养成使用习惯的产品逻辑,Nir Eyal,product_manager
不动产登记暂行条例,国务院,rent_buy_house
不原谅也没关系,皮特·沃克,mental_wellness
不拘一格(奈飞文化手册),Hastings / Meyer,startup_advisory
不拘一格(奈飞文化手册)No Rules Rules,Reed Hastings / Erin Meyer,startup_advisory
与天为敌:风险探索传奇,彼得·伯恩斯坦,insurance_planning
专业化妆造型技法,—,skincare_beauty
专利侵权判定标准与司法解释,—,ip_patent
专利审查指南,国家知识产权局,ip_patent
专利检索与分析实务,—,ip_patent
专利法详解,尹新天,contract_review;ip_patent;legal_consulting
专利申请文件撰写实务,—,ip_patent
专利许可与转化实务,—,ip_patent
世界 50 佳餐厅榜单解读,The World's 50 Best,travel_deep;travel_planning
世界犬种图鉴 FCI/AKC,—,pet_care
世界猫种图鉴,—,pet_care
世界顶级摄影大师作品集,—,photography
个人信息保护法实务,专著,contract_review
个人信息保护法解读,—,private_domain
个人信贷与债务管理实务,—,family_finance
个人养老金制度政策(三支柱),国务院/人社部,tax_insurance
个人养老金制度政策解读,—,elder_care;family_finance
个人品牌/打造个人 IP,—,private_domain
个人品牌打造,—,resume_interview;short_video
个人商业模式,蒂莫西·克拉克,career_transition
个人形成论,卡尔·罗杰斯,mental_wellness
个人所得税专项附加扣除政策文件,国务院/税务总局,tax_insurance
个人所得税专项附加扣除政策解读,—,family_finance
个人所得税实务与筹划,注册税务师教材,tax_insurance
个人所得税法及实施条例,全国人大/国务院,tax_insurance
个人所得税法及实施条例释义,—,family_finance
个人理财,博迪/默顿,career_transition;family_finance
个人理财入门(指数基金常识),—,study_abroad
个人理财规划(CFP教材),—,insurance_planning;tax_insurance
个人理财规划指南,综合,wedding_planning
个保法/数据安全法解读,—,startup_advisory
中介套路拆解,—,rent_buy_house
中医基础理论/中医诊断学,院校教材,family_doctor
中华人民共和国专利法,—,ip_patent
中华人民共和国保险法,—,insurance_planning;tax_insurance
中华人民共和国信托法,全国人大,tax_insurance
中华人民共和国商标法及实施条例,—,ip_patent
中华人民共和国民法典,法律出版社,legal_consulting;tax_insurance
中华人民共和国社会保险法,全国人大,tax_insurance
中华人民共和国税收征收管理法,全国人大,tax_insurance
中华人民共和国药典(ChP),国家药典委,pharma_biomfg
中华影像医学(丛书),专著,family_doctor
中华饮食文化,专著,dining_recommendation
中国2型糖尿病防治指南,中华医学会,chronic_disease;health_checkup
中国书画鉴定学稿,杨仁恺,collectibles
中国制造2025与产业政策汇编,—,industrialization
中国历代政治得失,钱穆,writing_polish
中国古代书画图目,—,collectibles
中国哲学简史,冯友兰,debate_speech
中国围棋规则,—,board_game
中国居民膳食指南,中国营养学会,child_education;chronic_disease;cooking_recipe;dining_recommendation;health_checkup;nutrition_fitness
中国民俗学,钟敬文,dining_recommendation
中国汽车质量网投诉数据解读,—,car_purchase
中国烹饪史,专著,cooking_recipe
中国烹饪概论,专业教材,cooking_recipe;dining_recommendation
中国玉器通史,—,collectibles
中国白酒品鉴,专著,dining_recommendation
中国艺术品市场报告,—,collectibles
中国艺术品收藏鉴赏全书,—,collectibles
中国血脂管理指南,—,chronic_disease;health_checkup
中国陶瓷史,叶喆民,collectibles
中国青铜器,马承源,collectibles
中国食物,尤金·安德森,cooking_recipe;dining_recommendation
中国食物成分表,—,chronic_disease
中国高尿酸血症与痛风诊疗指南,—,chronic_disease
中国高血压防治指南,—,chronic_disease;health_checkup
中式婚礼习俗与流程(三书六礼),综合,wedding_planning
中式热菜烹调技术,专业教材,cooking_recipe
中餐二十四味型,专著,cooking_recipe
中餐宴席礼仪,专著,dining_recommendation
丰田生产方式,大野耐一,automotive;industrialization
临床前药理与毒理学,—,pharma_biomfg
临床心理学,Trull,mental_wellness
临床检验诊断学,专著,family_doctor;health_checkup
临床检验项目参考区间手册,—,health_checkup
临床用药须知,中国药典,chronic_disease
临床皮肤镜学,—,skincare_beauty
临床老年病学,—,elder_care
临床药理学,—,chronic_disease
临床营养学,—,chronic_disease;cooking_recipe;dining_recommendation;nutrition_fitness
临床运动医学,Brukner & Khan,family_doctor;fitness_plan;nutrition_fitness
临终关怀与哀伤辅导手册,—,elder_care
为什么精英都是时间控,桦泽紫苑,time_productivity
为何家会伤人,武志红,wedding_planning
为未知而教为未来而学,戴维·珀金斯,child_education
主持与引导技巧,—,board_game
主题婚礼创意案例集,综合,wedding_planning
乌合之众,古斯塔夫·勒庞,debate_speech;presentation_skills;private_domain
乐器声学原理,—,music_learning
九人:美国最高法院风云,杰弗里·图宾,legal_consulting
也许你该找个人聊聊,洛莉·戈特利布,career_transition
习惯的力量,查尔斯·都希格,fitness_plan;home_organize;language_learning;nutrition_fitness
乡下人的悲歌,J.D. 万斯,study_abroad
乡土中国,费孝通,modern_agriculture
乡村振兴战略规划读本,—,agriculture
书画作伪与鉴别,—,collectibles
书画装裱与修复,—,collectibles
买卖合同司法解释理解与适用,最高人民法院,contract_review
买手实务,—,fashion_styling
买车用车养车一本通,—,car_purchase
乳腺 BI-RADS 分级,—,health_checkup
事实核查手册,新闻业实务,writing_polish
事故车/泡水车/调表车识别,—,car_purchase
二手交易实战手册,—,purchase_decision
二手房交易法律实务,—,rent_buy_house
二手房议价实战,—,rent_buy_house
二手桌游交易避坑手册,—,board_game
二手车交易实务,—,car_purchase
二手车检测技术,—,car_purchase
二手车残值与保值率分析,—,car_purchase
二手车评估师培训教材,—,car_purchase
二手车金融与置换补贴,—,car_purchase
二手车鉴定与评估,—,car_purchase
二氧化碳捕集与利用,—,chemical_industry
互动游戏与团建活动手册,—,event_planning
互换性与技术测量,—,machinery
互换性与测量技术,—,aerospace
亚马逊广告精通,专著,cross_border
亚马逊运营实战,专著,cross_border
亚马逊选品实战,专著,cross_border
交强险条例解读,—,car_purchase
产业组织理论,泰勒尔,industrialization
产业经济学,—,career_transition;industrialization
产后抑郁识别与干预手册,—,parenting_baby
产品可靠性工程,—,purchase_decision
产品可靠性设计,专著,digital_office
产品认证(CCC/CE)实务,—,machinery
产品质量法实务,专著,digital_office;dispute_rights
亲密关系,罗兰·米勒,child_education;gift_selection;mental_wellness;wedding_planning
亲属法与继承法,杨大文,legal_consulting
人体工程学与室内尺度手册,—,home_organize;home_renovation
人体工程学与服装,—,fashion_styling
人体测量与体成分评估,—,fitness_plan
人像摄影圣经,—,photography
人月神话,Frederick Brooks,product_manager;program_management;startup_advisory
人月神话 The Mythical Man-Month,Frederick Brooks,startup_advisory
人机工学(显示器/键鼠/桌面),专著,digital_office
人格心理学,伯格,gift_selection
人生十八局,吴清源,board_game
人生的智慧,叔本华,elder_care
人身保险,教材,family_finance
人身保险条款解读手册,—,insurance_planning
人身保险核保医学手册,—,insurance_planning
人身保险精算原理,—,insurance_planning
人造板甲醛释放限量 GB18580,—,home_renovation
今日诊断与治疗(CMDT),CMDT,family_doctor;health_checkup
从0到1 Zero to One,彼得·蒂尔,industrialization;ip_patent;startup_advisory
从优秀到卓越,吉姆·柯林斯,_管理类共用书单
从出生到3岁,伯顿·怀特,child_education
仲裁法理论与实务,专著,contract_review
价值流图分析,—,automotive
价值评估(Valuation),McKinsey,startup_advisory;stock_trading
仿古工艺识别,—,collectibles
企业合规管理体系(ISO 37301),标准解读,contract_review
企业微信运营实战,—,private_domain
企业法律风险管理实务,专著,contract_review
企业知识产权管理规范 GB/T29490,—,ip_patent
企业集成模式(EIP),Hohpe & Woolf,program_management
企鹅分级读物 Penguin Readers,企鹅出版社,language_learning
伊登色彩论,约翰内斯·伊登,fashion_styling
众病之王:癌症传,悉达多·穆克吉,chronic_disease;family_doctor;health_checkup;pharma_biomfg
优势谈判,罗杰·道森,car_purchase;contract_review;dispute_rights
优秀的绵羊,威廉·德雷谢维奇,study_abroad
优雅地老去,大卫·斯诺登,elder_care
优雅地老去 Aging with Grace,大卫·斯诺登,elder_care
会员体系设计,—,private_domain
会展场馆经营管理,—,event_planning
会展策划与管理,教材,event_planning
会展财务管理,—,event_planning
会计学原理,—,agriculture
会议与活动策划专家,—,event_planning
传感器与检测技术,—,machinery
传感器融合,—,automotive
传热学,杨世铭,aerospace;chemical_industry
传质与分离技术,—,chemical_industry
伯恩斯新情绪疗法,戴维·伯恩斯,family_doctor;grad_civil_exam;mental_wellness;sleep_health
伯恩斯焦虑自助疗法,戴维·伯恩斯,sleep_health
伴手礼选品与预算指南,综合,wedding_planning
伺服系统与运动控制,—,machinery
低压配电设计规范 GB 50054,国标,construction_materials
住宅室内装饰装修工程质量验收规范,—,home_renovation
住宅设计解剖书,增田奏,home_organize;home_renovation
体型分析与版型,—,fashion_styling
体验经济,派恩/吉尔摩,event_planning
体验经济 The Experience Economy,派恩/吉尔摩,event_planning
作物栽培学,—,agriculture;modern_agriculture
作物栽培学各论,—,modern_agriculture
作物育种学,—,agriculture
作物育种学总论,张天真,modern_agriculture
你当像鸟飞往你的山(Educated),塔拉·韦斯特弗,study_abroad
你的N岁孩子(格塞尔系列),路易丝·埃姆斯,parenting_baby
你的猫(How to Speak Cat),National Geographic,pet_care
你的第一本保险指南,槽叔,insurance_planning
你的降落伞是什么颜色,博尔斯,career_transition
供应链管理,马丁·克里斯托弗,agriculture;automotive;cross_border;ecommerce_ops;industrialization
依恋三部曲·第一卷 依恋,约翰·鲍尔比,child_education
促销与价格锚定研究,专著,digital_office
保险原理与实务,高校教材,tax_insurance
保险学,魏华林/林宝清,car_purchase;family_finance;insurance_planning
保险常识100问,(保险100问系列),insurance_planning
保险法(注释本),—,car_purchase
保险消费者权益保护,—,car_purchase
保险理赔实务,—,insurance_planning
保险监管文件,国家金融监督管理总局,tax_insurance
保险纠纷典型案例与裁判规则,—,insurance_planning
信任代理(Trust Agents),Brogan & Smith,private_domain
信号与系统,—,aerospace
信息架构(北极熊书),Rosenfeld & Morville,product_manager
信息架构:超越 Web 设计,Rosenfeld/Morville,ui_ux_review
信息检索与文献引用规范(GB/T 7714),国标,writing_polish
信息检索导论,Manning 等,prompt_engineering
信息流广告投放实务,专著,ecommerce_ops
信用卡境外手续费与退税策略指南,综合,travel_planning
信用卡积分与里程兑换攻略,综合,travel_deep
修辞学,亚里士多德,debate_speech
债务危机,瑞·达利欧,stock_trading
债法总论,王利明,contract_review
健康保险实务,—,tax_insurance
健康告知与如实告知义务解读,—,insurance_planning
健康监测与可穿戴设备应用,—,chronic_disease
健康行为改变(动机访谈),—,chronic_disease
健身者解剖书,Frederic Delavier,fitness_plan
健身营养全书,冯·勒费尔霍尔茨,chronic_disease;fitness_plan
健身解剖学,—,nutrition_fitness
储能系统集成与应用,—,energy_power
储量估算与资源量分类,—,mining_extraction
催化原理,—,chemical_industry
儿科学,人卫教材,family_doctor;parenting_baby
儿童保健学,—,child_education
儿童发展心理学,劳拉·伯克,parenting_baby
儿童心理学,—,child_education
儿童意外伤害预防手册,—,parenting_baby
儿童睡眠医学指南,—,parenting_baby
儿童营养学,—,child_education;parenting_baby
儿童认知行为疗法(CBT)手册,—,child_education
儿童音乐教育(奥尔夫/铃木),—,child_education
元素周期王国,彼得·阿特金斯,mining_extraction
元素的盛宴,萨姆·基恩,chemical_industry;metallurgy
先进封装技术,—,electronics_semiconductor
光刻技术原理,Levinson,electronics_semiconductor
光刻胶化学与技术,—,electronics_semiconductor
克氏外科学,Sabiston,family_doctor
党政机关公文写作规范,国务院办公厅,writing_polish
全国12315平台操作实务,专著,dispute_rights
全然接受这样的我,塔拉·布莱克,mental_wellness
